business_id,review_cool,review_funny,review_id,review_stars,review_useful,user_id,attributes_DogsAllowed,attributes_DriveThru,attributes_GoodForKids,good_for_dessert,good_for_late_night,good_for_lunch,good_for_dinner,good_for_brunch,good_for_breakfast,attributes_HasTV,attributes_NoiseLevel,attributes_OutdoorSeating,attributes_RestaurantsAttire,attributes_RestaurantsDelivery,attributes_RestaurantsGoodForGroups,attributes_RestaurantsPriceRange,attributes_RestaurantsReservations,attributes_RestaurantsTableService,attributes_RestaurantsTakeOut,attributes_Smoking,attributes_WheelchairAccessible,attributes_WiFi,categories,city,is_open,name,bus_review_count,bus_stars,state,cuisine,user_average_stars,bus_cool,user_review_count
0FtjGjAJGuUVp-gohD3jlw,0,0,QwXaqLY3DxCYeZG46hbxBg,4,0,miYadhpWV81SXUEae3LX_A,,,1,0,0,1,0,0,0,0,,0,casual,0,0,2,0,,1,,,no,"Restaurants, Fast Food, Sandwiches",Gilbert,1,Subway,18,2.5,AZ,Others,3.9,37,201
Zt4ljpwfmBufatNM1zPNcQ,0,1,V_lNjkSgD4PTaifYfd047A,1,1,jCc8G2-5-vXaskiY3YayIQ,,,1,0,0,1,1,0,0,1,average,1,casual,1,1,2,0,1,1,,1,free,"Gluten-Free, Food, Italian, Pizza, Restaurants",Tempe,1,Picazzo's Healthy Italian Kitchen,323,4,AZ,Italian,1.35,3,32
xmAakatNKpvIJ-Fmq5swCw,1,0,5GbYp9tLOwcKXzR9V2LPIQ,4,2,B5CJOn5W4bRTXR8gNB-Faw,,,1,0,0,1,1,1,0,1,average,1,casual,0,1,2,1,,1,,,free,"Event Planning & Services, Nightlife, Food, Caterers, Beer, Wine & Spirits, American (New), Soup, Breakfast & Brunch, Restaurants, Wine Bars, Bars",Phoenix,1,The Market,225,4,AZ,American,3.48,8,72
nK4PaQEpSXW6-2F_hID6pg,1,0,RwtP3icoOEDhR7PjP6b94w,5,3,iT3UqVfYYBoK-CvtllJIVA,,,0,0,0,0,1,0,0,1,average,1,casual,0,1,2,1,,1,,,free,"Italian, Pizza, Restaurants, Beer, Wine & Spirits, Food",Phoenix,1,La Stalla Cucina Rustica,256,4,AZ,Italian,3.81,24,60
4LPrdCK0L7GFF6vLP5cGTw,0,0,fyGFGcbTxb1HK_IYphB2aw,4,0,dSTXuF_x_cgp2109m415yQ,0,,1,0,0,1,1,0,0,0,average,1,casual,0,1,1,0,0,1,,1,free,"Sushi Bars, Food, Asian Fusion, Japanese, Restaurants, Poke",Phoenix,1,Tokyo Joe's,160,3.5,AZ,Asian Fusion,2.88,10,55
q3P5fMndhQaDC9AFPaDI_A,0,0,hb9Z6jTwYI7o8oPcjI21xA,5,0,tFSnxUGaNa2pwb4zClBu_Q,,,1,1,0,1,1,1,1,0,quiet,1,casual,0,1,2,0,1,1,,,free,"Food, Restaurants, French, Sandwiches, Desserts",Chandler,1,La Madeleine French Bakery & Café,140,3.5,AZ,Others,4.46,35,193
Y86-pkuAFNfMRHg0kE1W9w,0,0,UACZ8-FZxobnHSxPIxZDrA,1,1,YrjR--nfZfisgFFBS9DrzA,,,1,0,0,1,0,0,0,1,average,1,casual,1,1,1,0,0,1,,,free,"Restaurants, Delis, Fast Food, Sandwiches",Goodyear,1,Firehouse Subs,34,3,AZ,Others,4.52,12,48
t5nyOtnEv455rShOS_g3RA,0,0,uo-y9wD27C6eWBYNZVYj4w,1,1,iaNljdGB3SnBGeIwAzlz-g,,,1,0,0,1,1,0,0,1,average,1,casual,0,1,2,0,,1,,,free,"Seafood, Fish & Chips, Food, Salad, Restaurants, American (New)",Glendale,1,Oscar's Pier 83,479,4.5,AZ,American,2.09,10,43
wHq1efQVz17338k_aUOX3w,2,1,1QjxIsZU20Joc1j8IExZ_Q,4,3,Vw3DWRZF-8Wt_A5rWKLKHQ,,,1,0,0,1,0,0,1,1,average,1,casual,1,1,2,1,,1,,,free,"Sandwiches, Restaurants, American (New), Cafes, Delis, Breakfast & Brunch, Pizza, Nightlife, Food, Local Flavor, Arts & Entertainment, Jazz & Blues, Coffee & Tea",Phoenix,1,Hob Nobs,307,4,AZ,American,4.04,196,192
6nKR80xEGHYf2UxAe_Cu_g,0,0,TtGPKpfcX9UcRnGUFTkr6A,3,1,ricSbg_N0imjxq07rYYkbw,,0,1,0,0,1,1,0,1,1,average,1,casual,0,1,2,0,,1,,,free,"Farmers Market, Gas Stations, Automotive, Car Wash, Restaurants, Breakfast & Brunch, Burgers, Food, American (Traditional), American (New), Bakeries, Barbeque, Caterers, Event Planning & Services",Scottsdale,1,The Thumb BBQ,917,4.5,AZ,American,3.69,11,28
t_oa6AQg3ydpKHqz8wrkfg,0,0,J1RWKkjdn38Z0UPVcoJVNg,5,0,ab_83OixXxcf9ePf8d3P7w,,1,1,1,0,1,1,0,1,0,quiet,1,casual,0,1,1,0,1,1,,1,free,"Event Planning & Services, Cafes, Caterers, Restaurants, Fast Food",Glendale,1,Chick-fil-A,39,4,AZ,Others,4.86,1,7
vGQhSTsbHTTly4G3sQoGow,0,0,PIbgYjmdDiCMFY7pwhE4Ww,1,3,MAmijW4ooUzujkufYYLMeQ,,,1,,,,,,,1,quiet,1,casual,0,1,2,1,,1,,,free,"American (New), Restaurants, Food",Fountain Hills,1,Wicked Six Bar & Grill,48,3.5,AZ,American,2.57,54,247
F3m6dsf_acFDukg2jreURQ,0,1,dsK9liXRYG_2PDp5-TAtIw,3,0,H605gAh5zaOub_TsoNIMMA,0,,1,0,0,1,0,0,0,1,,1,casual,0,1,1,0,0,1,,1,no,"Restaurants, Mexican, Desserts, Food",Scottsdale,1,Caramba Mexican Food,60,4,AZ,Mexican,2.38,5,20
Fn_IxcCtZl1EoS81sq_s9w,0,0,nVXftg_Enj5fpoyuJrF7tg,4,0,bozbHeqvZA4-QQjWcZpLTA,,,1,0,0,1,1,0,0,1,average,0,casual,1,1,1,0,,1,,,free,"Food Delivery Services, Italian, Sandwiches, Pizza, Food, Restaurants",Chandler,1,Rush Street Pizzeria,142,3.5,AZ,Italian,3.46,62,141
AtSEe-B2mFmLFHBf4PLTrw,0,0,sF7bhx-6jpF_qbtvg6iIKg,4,0,F5Enm5Dnum0Bs499Ce2K6w,,,1,0,0,1,0,0,1,0,average,1,casual,0,1,1,0,,1,,,free,"Bakeries, Restaurants, Food, Breakfast & Brunch, Sandwiches",Tempe,1,Wildflower,281,4,AZ,Others,4.06,3,16
FxKKhsjjPNNH3KWz8TEXaw,4,2,hOSFpNDr8aNK04Jj55SAyw,3,7,pQdIIsbV5dGOVz_kWfMRTw,,,1,,,,,,,0,average,0,casual,0,1,2,0,,1,,,no,"Food, Restaurants, Specialty Food, Burgers",Chandler,0,Coal Burger,47,3,AZ,Others,3.53,1216,263
JIETwXSEGIHMNyxZVEnNKQ,0,1,qLl4sXYSkJQAlRw2Q8pcZw,5,0,gMuKXzonvRlEHza3z-zOHQ,,,1,0,0,1,0,0,1,0,average,1,casual,1,1,2,0,0,1,,,free,"Cafes, American (New), Breakfast & Brunch, Restaurants, Juice Bars & Smoothies, Food, Salad",Scottsdale,1,Original ChopShop,824,4,AZ,American,2.38,4,33
DZpUH96f1Uomk7N8FlZLjg,0,0,uRptTTlyuAMlt5_sXohoKA,4,1,ftX9hskuE_aXHlCwly1KJg,,,1,0,0,1,0,0,0,0,average,1,casual,1,1,2,0,0,1,,,free,"Food, Vegetarian, Juice Bars & Smoothies, Asian Fusion, Breakfast & Brunch, Restaurants, Vegan",Scottsdale,0,Grabbagreen,69,3.5,AZ,Asian Fusion,4.03,8,30
dNr7VKRti8dXWE-jzfVBtQ,0,0,dZAORp4hfD1n4O7uC1YfGg,5,0,U3zC5Fo1nAc9jTP4PljnzA,,,1,0,0,1,1,0,0,1,average,1,casual,0,1,2,1,,1,outdoor,,free,"Nightlife, Pubs, Wine Bars, Restaurants, Gastropubs, Bars, Breweries, Food",Chandler,1,The Perch Brewery,935,3.5,AZ,Others,3.65,0,16
PJerxJc0SN9h6hXlqSQc5w,0,0,EZLdJW4YSH9qx6ZRa7dRiA,3,0,93nplV3SmvyC7MUyZELVrA,,,0,0,1,1,1,0,0,1,average,1,casual,0,1,2,1,1,1,outdoor,,free,"American (New), Sports Bars, Nightlife, Beer, Wine & Spirits, Bars, American (Traditional), Food, Restaurants, Diners",Scottsdale,1,Boondocks Patio & Grill,181,3.5,AZ,American,3.68,127,251
OY0-hYJ2q6WiAqhYnCZZ0w,1,0,OBF5CGQ_u3kLZ01jwvs9nw,5,2,kqNJmVQDXyHoi8bXmhx2CQ,,,1,0,0,1,1,0,0,1,average,1,casual,0,1,2,1,,1,,,free,"Pubs, Bars, Nightlife, Food, German, Restaurants, Beer, Wine & Spirits, Beer Gardens, American (Traditional), Belgian",Scottsdale,1,Brat Haus,678,4,AZ,American,4.21,32,69
KOA3EA_eFxiRz5P2lAmM_Q,0,0,XDo1jZPL-xHMyAqhV640oA,5,1,ZjVI42MTtWY7MdeMCqnB-A,0,1,1,0,0,1,1,0,1,0,average,1,casual,1,1,1,0,0,1,,1,free,"Event Planning & Services, Fast Food, Caterers, American (New), Restaurants",Phoenix,1,Chick-fil-A,101,4,AZ,American,2.81,15,46
fKlr9qNoV37WQJwQ826POg,0,0,SqOOzl1fpkqmczpRZ5su4g,5,0,0rdOPjM0nw5ICUe_GUrQBA,,,1,0,0,0,1,0,0,0,average,0,casual,0,1,3,1,,0,,,no,"Brazilian, Food, Steakhouses, Seafood, Restaurants",Scottsdale,1,Fogo de Chão Brazilian Steakhouse,1168,4,AZ,Others,3.72,8,29
wHq1efQVz17338k_aUOX3w,0,0,h8phn_k0bkseQyoVEAk_uQ,4,1,gOYgSEbE-Z7cqGsgGW3LBg,,,1,0,0,1,0,0,1,1,average,1,casual,1,1,2,1,,1,,,free,"Sandwiches, Restaurants, American (New), Cafes, Delis, Breakfast & Brunch, Pizza, Nightlife, Food, Local Flavor, Arts & Entertainment, Jazz & Blues, Coffee & Tea",Phoenix,1,Hob Nobs,307,4,AZ,American,3.88,112,229
St9cJ47L0WidZTXRuCFhOA,0,0,I6UeI-YYiOr0DAr4erBB7A,5,2,dicOsOAQGrMQxDnP6h4Rbw,,,1,0,0,1,1,0,0,0,quiet,1,casual,0,1,2,1,,1,,,free,"Bakeries, Kosher, Restaurants, Mediterranean, Food, Vegetarian",Scottsdale,0,Mozart Cafe & Bakery,75,4.5,AZ,Mediterranean,4.14,3,13
6ZIHxvFTHC1pvAzAS0uLDA,0,0,QVYas29Qf1wAeweiruA2tQ,5,0,abAIOK-fx1pL8_8v6RY45w,,,1,0,0,1,0,0,0,1,average,1,casual,0,1,1,0,,1,,1,free,"Sandwiches, Coffee & Tea, Restaurants, Ice Cream & Frozen Yogurt, Vietnamese, Bakeries, Asian Fusion, Food",Chandler,1,Lee's Sandwiches,501,4,AZ,Asian Fusion,4.43,6,21
W2CzAePJakvARgoQuohbOA,0,0,U9zrNLGO_qtmrC29wHcwIQ,4,0,tWP-cEE7mmlh2_SDP5nvTw,,1,1,0,1,1,1,0,0,0,average,1,casual,0,1,1,0,,1,,,no,"Fast Food, Restaurants, Burgers",Tempe,1,In-N-Out Burger,407,4,AZ,Others,2.88,92,267
ROMFVEFKEYi7qhyITX6jfA,0,0,yvUcQ013dFq653RVl5ki3Q,5,0,hTwRKhKTpg0vecEqNXBXNA,,,1,0,0,1,0,1,1,0,average,1,casual,0,1,2,0,0,1,,,free,"Cafes, Food, Breakfast & Brunch, Gluten-Free, Restaurants, Vegan, Vegetarian, Juice Bars & Smoothies",Tempe,1,24 Carrots Juice Bar & Cafe,275,4,AZ,Others,3.71,21,35
S_bG5WWbtNXhhY9Y0GTcSg,0,1,TEC6BhLBOuQzBp5SxxUklQ,5,0,9ncgG_mNV0htEZuVx_qnwQ,1,,1,0,0,1,0,1,1,0,average,1,casual,0,1,2,0,0,1,,1,free,"Food, Mexican, Restaurants, Tacos, American (New), Coffee & Tea, Cafes, Breakfast & Brunch",Phoenix,1,Fàme Caffe,459,4.5,AZ,"Mexican, American",4.41,6,31
s6KEoNC-rR79704_1ObFuw,1,0,TqkDg6eHn4id7ouPJxnGvw,5,1,YU4AyJ_5zICjyM5BYQmkdQ,,0,1,0,0,1,0,0,0,1,very_loud,1,casual,1,0,1,0,0,1,,1,no,"Fast Food, Sandwiches, Restaurants, Delis",Cave Creek,1,Firehouse Subs,47,3,AZ,Others,4.52,20,37
2skQeu3C36VCiB653MIfrw,2,0,A080s2Eh6TD6kwo6VdWSbA,5,0,uNKWgJMt61k99fJLCJDEgw,,,1,,,,,,,1,average,0,casual,0,1,2,1,,1,,,no,"Food, Nightlife, Bars, American (Traditional), Barbeque, Smokehouse, Restaurants",Phoenix,1,Bootleggers Modern American Smokehouse,521,4,AZ,American,4.32,75,67
P2GBKrx7dJg3xeGtuU2K-A,0,0,BHRs6TdXEd1c94ZbQIWMwQ,4,0,Upv3A5f9VVRaDSmU9M-KmQ,,,1,0,0,0,1,0,0,1,average,1,casual,0,1,2,1,,1,,,free,"Seafood Markets, Food, American (Traditional), Specialty Food, Venues & Event Spaces, Event Planning & Services, Seafood, Sushi Bars, Restaurants",Phoenix,1,Bluewater Grill,645,4,AZ,American,4.4,20,90
r4HkiC71nB9k8Fe8zIORFQ,0,0,T_de8X-Qgply3Pqo7FzUaw,2,2,mtsT8yJfRJnbwlpPqCRYkA,,,1,,,,,,,1,average,1,casual,1,1,2,0,,1,,,free,"Food, Restaurants, Italian",Goodyear,1,Sal's Tuscan Grill,166,4,AZ,Italian,2.18,13,45
1r9xmPVZqsiTNQr_FAcs8w,1,1,k0kbJbA2PjyRqegmxnRbMg,5,2,YQZ77kB4c9Grj28yVLKTaw,0,,1,1,0,0,0,0,0,1,average,0,casual,0,1,1,0,0,0,,1,no,"Ice Cream & Frozen Yogurt, Desserts, Restaurants, American (Traditional), Food",Phoenix,1,Mary Coyle Ol' Fashion Ice Cream,115,4,AZ,American,3.8,12,48
HUMumae_0P9taTSQTZcpZw,0,0,gfT6_f0vQ2JrEx49qh0Dqg,5,0,GUYaweiF-HgQRfH9P8-fvQ,0,,1,0,0,1,1,0,0,1,average,1,casual,0,1,1,0,1,1,,0,free,"Food Trucks, Food, Tacos, Mexican, Restaurants, Caterers, Event Planning & Services",Glendale,1,Tacos Tijuana,187,4.5,AZ,Mexican,3.9,1,10
89Eqssb01O4-3-btGyvXoQ,0,2,RCrFXHzKvxKVtJDvQv4u9g,3,0,Pj9YpaP0T7A_5S_PT8IpNg,,,1,0,0,1,1,0,0,1,average,1,casual,0,1,1,0,,1,,,free,"Mediterranean, Food, Greek, Food Delivery Services, Restaurants",Scottsdale,1,Pita Cafe,135,4.5,AZ,Mediterranean,3.61,266,367
pHpU8lnnxMuPWRHOysuMIQ,2,0,#NAME?,5,2,NEQOvme1p9Z2q_M0a0DWpw,1,,0,0,0,1,1,1,0,1,average,1,casual,1,1,2,1,1,1,,1,free,"Wine Bars, Beer, Wine & Spirits, Restaurants, Mediterranean, Nightlife, Gluten-Free, Bars, Food, American (New), Breakfast & Brunch, Gastropubs, Burgers",Tempe,1,Salut Kitchen Bar,715,4,AZ,"Mediterranean, American",5,4,3
MZkP-I91Df4XgmVelGBGng,1,1,Yj7US4QAU4mFWsO-Wg55qA,5,1,XQDfhRd54J7OgimNNxdAcg,1,,1,0,0,1,0,1,1,1,average,1,casual,0,1,1,0,0,1,,1,free,"Bakeries, Cafes, Sandwiches, Restaurants, Breakfast & Brunch, Coffee & Tea, Food",Phoenix,1,Fillmore Coffee,141,4.5,AZ,Others,4.23,18,45
oZcbn7ENit23xbCsyu9xbA,4,1,nOC9epeXB2jegE3Lk0ogrA,5,2,rgHK4_IdibIrF990TTRoIQ,,,0,0,0,0,1,0,0,1,average,1,casual,0,1,3,1,,1,,,no,"Japanese, Seafood Markets, Food, Sushi Bars, Specialty Food, Restaurants",Phoenix,1,Yasu Sushi Bistro,428,4,AZ,Japanese,3.74,461,719
aXRrMXXoAN7lawHICgmsxw,2,0,hCO0WVGG5S28qKaDcQuhvA,4,4,KMQ-5KpTWIheGxlCOzowWQ,1,0,0,0,0,1,1,0,0,0,average,1,casual,0,1,2,0,1,1,,1,free,"Restaurants, Japanese, Food, Salad, Desserts, Tacos, Street Vendors, Coffee & Tea, Breakfast & Brunch, Burgers, Mexican",Phoenix,1,The Dressing Room,422,4.5,AZ,"Japanese, Mexican",3.91,332,258
MM572Htt9k_e96IKNyCEtA,0,0,8JYxn3qHb84ZHgGFgDy43g,4,0,N31W1iSrYkz_Ara-x6F07g,,,1,0,0,0,0,1,1,1,average,1,casual,0,1,2,1,,1,,1,free,"Mexican, Breakfast & Brunch, Nightlife, Comfort Food, American (Traditional), Hotel bar, Bars, Restaurants, African",Phoenix,1,stonegrill,74,3.5,AZ,"Mexican, American",4,19,48
MldtbULi0uqWxduSyE663w,0,1,a79aAXSJVEMMsnOSZDx72Q,2,1,8l3NColllkyLaWEZuv-QDA,0,1,1,0,0,1,0,1,1,1,quiet,0,casual,0,1,1,0,0,1,,1,no,"Restaurants, Breakfast & Brunch, Fast Food, Burgers, American (Traditional)",Phoenix,1,XL California Burger Company,28,3,AZ,American,3.25,1,4
futvxFkM42RYxXr8ROogBQ,0,0,CYqDBIK6S_wHLQUrK6GokA,2,0,Zz6AJ8OU7i7VKnqIn50rCQ,,,1,0,1,1,1,0,0,1,average,1,casual,0,1,1,0,,1,,,no,"Specialty Food, Ethnic Food, Restaurants, Food, Mediterranean, Greek",Tempe,1,The Munchies Cafe,141,4,AZ,Mediterranean,4,0,13
BvTU8s3v-qfTtsSKV6Y16A,3,2,IWanY8I2eEyAJKUjpBoxow,3,2,g1P3KlkiA3MUwt4Pvm0SXA,,,1,,,,,,,1,average,1,casual,0,1,2,1,,1,,,no,"Beer, Wine & Spirits, Bars, Nightlife, American (Traditional), Restaurants, Food",Phoenix,0,Corbin Bar & Grill,148,4,AZ,American,3.73,51,57
#NAME?,1,0,3bEB3FyEcwNIN_yhsobOjQ,4,3,4TY8dDlgoso_xdfVvLkW1w,,,1,,,,,,,1,average,1,casual,0,1,1,0,,1,,,no,"Coffee & Tea, Cafes, Diners, Breakfast & Brunch, American (New), Food, Restaurants",Scottsdale,0,C3 Kitchen,65,4,AZ,American,3.59,390,248
ghbY1O8XyLt8mQE0G4l74w,0,0,n8fxLVHymboj1fgaGIqVOA,5,0,IK5XK0Zsj49jz6kCDHOpyw,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,"Bakeries, Restaurants, Bubble Tea, Coffee & Tea, Food, Cafes",Mesa,1,Izzy's Bakery & Cafe,59,4,AZ,Others,4.88,1,8
IiwgHkUbBt9Ha25H4dUtkw,1,1,d3TCc7j3dnjq1NPuYFQIYQ,5,1,k4B7DGEFtXCRSfZzrp5IPA,,,1,0,0,1,1,0,0,1,average,0,casual,0,1,1,0,0,1,,,no,"Food, Delis, Grocery, Bakeries, Restaurants, Seafood, Mexican",Phoenix,1,Los Altos Ranch Market,194,4.5,AZ,Mexican,3.79,10,19
UAE4XWXwlALJsq8yycmW5w,0,0,RN5pitSS1W1ec5Pj1EIo3A,4,0,q3DN4-IQPEEcbicZxHlhhw,,,1,0,0,1,1,1,1,0,average,1,casual,0,1,2,0,,1,,,free,"Food, Caterers, American (New), Bakeries, Sandwiches, Restaurants, Breakfast & Brunch, Event Planning & Services",Goodyear,1,Wildflower,239,4,AZ,American,4.29,3,21
Iqu-RwRA4XfwILKQLKQZew,0,0,yb0gdY9B_5ROycDssMVxfg,1,3,IDjIyzuFfxF_vb2Rn_GFMw,,,1,1,0,1,1,1,0,0,,1,casual,1,1,2,0,1,1,,,free,"Indian, Bakeries, Restaurants, Food",Tempe,1,Pastries N Chaat,56,3.5,AZ,Others,3.72,31,92
B9E9X8mm_k2Ry-lHx9wEDw,3,1,tVTlBEEmA2MYcGZpVLyoBQ,3,3,lOBObjsCtw_eiyN7T_B75w,,,1,,,,,,,0,average,1,casual,0,1,1,0,,1,,,free,"Sandwiches, Delis, Restaurants, Food, Bakeries, Cafes",Phoenix,0,Paradise Bakery,70,3,AZ,Others,4.04,1622,287
pHpU8lnnxMuPWRHOysuMIQ,4,0,gd5DBjn0SNnDBO7sF0Aq7g,5,4,dm6Da-kVw2sgy90kedIFzg,1,,0,0,0,1,1,1,0,1,average,1,casual,1,1,2,1,1,1,,1,free,"Wine Bars, Beer, Wine & Spirits, Restaurants, Mediterranean, Nightlife, Gluten-Free, Bars, Food, American (New), Breakfast & Brunch, Gastropubs, Burgers",Tempe,1,Salut Kitchen Bar,715,4,AZ,"Mediterranean, American",4.12,9,24
emOpqfJTtRHMd8dUg_AAsw,0,2,GTKDO-cPpsh_1js1C0WVUw,3,3,wwdamcY73iJTyhl-3gGOJw,,,1,0,0,1,0,0,0,1,average,0,casual,1,1,2,1,,1,,,no,"Restaurants, Dim Sum, Food Delivery Services, Food, Chinese, Seafood",Chandler,1,C-Fu Gourmet,234,3,AZ,Chinese,3.81,558,199
utIA0LyQmwP-9DRyxUe6qQ,0,0,vZICt1wqzkK3qiYdAm8A6A,4,0,gpVuTvPuEVL1wj30a1IadQ,,,1,0,0,0,0,1,1,1,average,1,casual,0,1,2,0,,1,,,free,"Breakfast & Brunch, Coffee & Tea, Restaurants, Sandwiches, Food",Phoenix,1,"Snooze, An A.M. Eatery",1287,4,AZ,Others,4.32,11,30
Z_JkVkaUcN4ITVeuG-4Qtw,0,0,L7KUCkOypws8Tv1XljYkPQ,5,2,aaqiJno2ljEpqhL7AIySOQ,,,0,0,0,1,1,1,0,1,loud,1,casual,0,1,2,1,,1,,,free,"American (New), Restaurants, Food, Breakfast & Brunch, Arts & Entertainment, Nightlife, Bars, Beer, Wine & Spirits",Scottsdale,1,RnR Gastropub,834,3.5,AZ,American,4.11,4,19
HjXI6lKGPVNQ8dYJPtaOCg,0,0,2UIEt9TLot5agST2A54Yzg,4,0,dYx7aVTunX3FZ7_sQxlOhw,,,1,0,0,1,1,0,0,1,average,1,casual,0,1,2,0,,1,,,free,"Sandwiches, Pizza, Bars, Food, Nightlife, Beer, Wine & Spirits, Restaurants",Tempe,1,Mellow Mushroom,526,3.5,AZ,Others,3.6,0,5
GibwaDiqJJ_62x0h3oCyxA,0,0,MI0pp_RBc_8mpCvUiqb3SQ,4,0,IlLV8XvTGxWww-Kk3YaC0Q,,1,1,0,0,1,0,0,0,1,average,1,casual,0,1,1,0,,1,,,no,"Fast Food, Restaurants, Chinese",Tempe,1,Panda Express,32,2,AZ,Chinese,4.33,0,6
_9vGmNrEcLWFOnUzeUdfag,0,0,NLKT8uMkwDapjRv4dW3QmQ,4,0,EfGC2QTeePSn3-NhObhRcg,,,1,0,0,1,1,0,0,0,average,1,casual,1,1,2,0,,1,,,free,"Local Flavor, Comfort Food, Barbeque, Restaurants",Gilbert,1,Joe's Real BBQ,1071,4,AZ,Others,4.02,116,155
